Area,Perimeter,Compactness,Length of kernel,Width of kernel,Asymmetry coefficient,Length of kernel groove,Wheat Type
14.69,14.49,0.8799,5.563,3.259,3.586,5.219,Kama
13.78,14.06,0.8759,5.479,3.156,3.136,4.872,Kama
12.72,13.57,0.8686,5.226,3.049,4.102,4.914,Kama
14.16,14.4,0.8584,5.658,3.129,3.072,5.176,Kama
13.02,13.76,0.8641,5.395,3.026,3.373,4.825,Kama
13.45,14.02,0.8604,5.516,3.065,3.531,5.097,Kama
15.49,14.94,0.8724,5.757,3.371,3.412,5.228,Kama
14.09,14.41,0.8529,5.717,3.186,3.92,5.299,Kama
14.43,14.4,0.8751,5.585,3.272,3.975,5.144,Kama
14.49,14.61,0.8538,5.715,3.113,4.116,5.396,Kama
13.22,13.84,0.868,5.395,3.07,4.157,5.088,Kama
13.89,14.02,0.888,5.439,3.199,3.986,4.738,Kama
14.59,14.28,0.8993,5.351,3.333,4.185,4.781,Kama
14.8,14.52,0.8823,5.656,3.288,3.112,5.309,Kama
15.11,14.54,0.8986,5.579,3.462,3.128,5.18,Kama
14.33,14.28,0.8831,5.504,3.199,3.328,5.224,Kama
12.36,13.19,0.8923,5.076,3.042,3.22,4.605,Kama
17.63,15.98,0.8673,6.191,3.561,4.076,6.06,Rosa
16.84,15.67,0.8623,5.998,3.484,4.675,5.877,Rosa
17.26,15.73,0.8763,5.978,3.594,4.539,5.791,Rosa
16.82,15.51,0.8786,6.017,3.486,4.004,5.841,Rosa
16.77,15.62,0.8638,5.927,3.438,4.92,5.795,Rosa
17.32,15.91,0.8599,6.064,3.403,3.824,5.922,Rosa
20.71,17.23,0.8763,6.579,3.814,4.451,6.451,Rosa
18.98,16.66,0.859,6.549,3.67,3.691,6.498,Rosa
16.87,15.65,0.8648,6.139,3.463,3.696,5.967,Rosa
19.18,16.63,0.8717,6.369,3.681,3.357,6.229,Rosa
12.73,13.75,0.8458,5.412,2.882,3.533,5.067,Rosa
15.99,14.89,0.9064,5.363,3.582,3.336,5.144,Rosa
16.23,15.18,0.885,5.872,3.472,3.769,5.395,Rosa
11.34,12.87,0.8596,5.053,2.849,3.347,5.22,Canadian
12.02,13.33,0.8503,5.35,2.81,4.271,5.046,Canadian
12.55,13.57,0.8558,5.333,2.968,4.419,5.049,Canadian
11.27,12.86,0.8563,5.091,2.804,3.985,5.001,Canadian
11.87,13.02,0.8795,5.132,2.953,3.597,5.132,Canadian
12.11,13.27,0.8639,5.236,2.975,4.132,5.012,Canadian
11.18,12.72,0.868,5.009,2.81,4.051,4.828,Canadian
12.37,13.47,0.8567,5.204,2.96,3.919,5.001,Canadian
12.19,13.2,0.8783,5.137,2.981,3.631,4.87,Canadian
11.23,12.88,0.8511,5.14,2.795,4.325,5.003,Canadian
11.84,13.21,0.8521,5.175,2.836,3.598,5.044,Canadian
12.7,13.71,0.8491,5.386,2.911,3.26,5.194,Canadian
